Instance | Steps | Robots | Triangles | Area | Freed

==> Radius 4

0 | 303600 | 223 | 275 | 76.75 | 120
1 | 330200 | 241 | 301 | 82.70 | 116
2 | 315000 | 237 | 290 | 77.23 | 117
3 | 312350 | 249 | 318 | 88.65 | 95
4 | 312450 | 239 | 312 | 87.89 | 110
5 | 348700 | 254 | 318 | 82.60 | 111
6 | 328750 | 252 | 317 | 81.84 | 112
7 | 353650 | 258 | 336 | 86.75 | 103
8 | 335800 | 236 | 296 | 79.41 | 116
9 | 363400 | 278 | 357 | 90.74 | 97


==> Radius 3

0 | 306250 | 261 | 350 | 99.16 | 74
1 | 335650 | 267 | 355 | 96.10 | 78
2 | 314400 | 275 | 366 | 97.49 |81
3 | 330900 | 282 | 369 | 94.38 | 84 
4 | 341700 | 285 | 375 | 96.69 | 83
5 | 302200 | 253 | 332 | 93.22 | 85
6 | 325700 | 276 | 357 | 90.02 | 91
7 | 312350 | 268 | 359 | 100.04 | 69
8 | 301700 | 266 | 343 | 89.10 | 94
9 | 300750 | 256 | 329 | 90.55 | 84

==> Radius 2

0 | 342550 | 319 | 450 | 118.08 | 47
1 | 338400 | 302 | 426 | 115.55 | 49
2 | 372000 | 312 | 458 | 121.58 | 44
3 | 328400 | 311 | 452 | 122.71 | 41
4 | 342000 | 308 | 449 | 119.99 | 49
5 | 328450 | 299 | 416 | 112.36 | 52
6 | 355300 | 318 | 454 | 116.50 | 48
7 | 334750 | 313 | 449 | 119.25 | 48
8 | 333950 | 301 | 428 | 118.59 | 46
9 | 321400 | 302 | 439 | 122.04 | 40
